name,zone,status
airflow,us-central1-a,RUNNING
darknet-1,us-west1-b,RUNNING
instance-64,us-west2-b,RUNNING
instance-21,asia-southeast2-a,RUNNING
data-manager,us-central1-a,TERMINATED
dataflow-1,us-central1-a,TERMINATED
instance-07,us-central1-a,TERMINATED
instance-10,us-central1-a,TERMINATED
instance-66,us-central1-a,TERMINATED
instance-69,us-central1-a,TERMINATED
sl-server-test,us-central1-a,TERMINATED
instance-11,us-central1-c,TERMINATED
instance-12,us-central1-f,TERMINATED
instance-05,europe-west1-b,TERMINATED
instance-45,us-west1-a,TERMINATED
instance-03,us-west1-b,TERMINATED
instance-26,us-west1-b,TERMINATED
instance-49,us-west1-b,TERMINATED
instance-13,asia-east1-a,TERMINATED
instance-14,asia-east1-a,TERMINATED
instance-16,asia-east1-a,TERMINATED
instance-27,asia-east1-a,TERMINATED
instance-31,asia-east1-a,TERMINATED
instance-41,asia-east1-a,TERMINATED
instance-04,us-east1-c,TERMINATED
instance-24,us-east1-c,TERMINATED
instance-46,us-east1-c,TERMINATED
instance-44,us-east1-d,TERMINATED
instance-48,us-east1-d,TERMINATED
instance-32,asia-northeast1-a,TERMINATED
instance-01,asia-northeast1-c,TERMINATED
instance-08,asia-northeast1-c,TERMINATED
instance-15,asia-northeast1-c,TERMINATED
instance-25,asia-northeast1-c,TERMINATED
instance-42,asia-northeast1-c,TERMINATED
instance-19,asia-southeast1-b,TERMINATED
instance-20,asia-southeast1-b,TERMINATED
instance-36,asia-southeast1-b,TERMINATED
instance-37,asia-southeast1-b,TERMINATED
instance-38,asia-southeast1-b,TERMINATED
instance-40,asia-southeast1-b,TERMINATED
instance-61,asia-southeast1-b,TERMINATED
instance-70,asia-southeast1-b,TERMINATED
instance-71,asia-southeast1-b,TERMINATED
instance-47,us-east4-b,TERMINATED
instance-50,us-east4-b,TERMINATED
instance-62,us-east4-c,TERMINATED
instance-74,us-east4-c,TERMINATED
instance-22,australia-southeast1-c,TERMINATED
instance-34,australia-southeast1-c,TERMINATED
instance-39,australia-southeast1-c,TERMINATED
instance-63,australia-southeast1-b,TERMINATED
instance-72,australia-southeast1-b,TERMINATED
instance-28,europe-west2-a,TERMINATED
instance-29,europe-west3-b,TERMINATED
instance-23,southamerica-east1-c,TERMINATED
instance-06,asia-south1-b,TERMINATED
instance-18,asia-south1-b,TERMINATED
instance-35,asia-south1-b,TERMINATED
instance-65,northamerica-northeast1-a,TERMINATED
instance-67,northamerica-northeast1-a,TERMINATED
instance-68,northamerica-northeast1-a,TERMINATED
instance-30,europe-west4-b,TERMINATED
instance-73,europe-west4-b,TERMINATED
instance-09,asia-northeast3-b,TERMINATED
instance-33,asia-northeast3-b,TERMINATED
instance-02,us-west4-a,TERMINATED
instance-17,us-west4-a,TERMINATED
instance-43,us-west4-a,TERMINATED
