,instance,zone
26,instance-01,asia-northeast1-c
27,instance-02,us-west4-a
1,instance-03,us-west1-b
2,instance-04,us-east1-c
3,instance-05,europe-west1-b
28,instance-06,asia-south1-b
4,instance-07,us-central1-a
29,instance-08,asia-northeast1-c
30,instance-09,asia-northeast3-b
5,instance-10,us-central1-a
6,instance-11,us-central1-c
31,instance-12,us-central1-f
32,instance-13,asia-east1-a
33,instance-14,asia-east1-a
34,instance-15,asia-northeast1-c
35,instance-16,asia-east1-a
7,instance-17,us-west4-a
36,instance-18,asia-south1-b
37,instance-19,asia-southeast1-b
38,instance-20,asia-southeast1-b
8,instance-21,asia-southeast2-a
9,instance-22,australia-southeast1-c
10,instance-23,southamerica-east1-c
11,instance-24,us-east1-c
12,instance-25,asia-northeast1-c
13,instance-26,us-west1-b
14,instance-27,asia-east1-a
15,instance-28,europe-west2-a
16,instance-29,europe-west3-b
17,instance-30,europe-west4-b
44,instance-31,asia-east1-a
56,instance-32,asia-northeast1-a
50,instance-33,asia-northeast3-b
39,instance-34,australia-southeast1-c
49,instance-35,asia-south1-b
57,instance-36,asia-southeast1-b
47,instance-37,asia-southeast1-b
40,instance-38,asia-southeast1-b
46,instance-39,australia-southeast1-c
55,instance-40,asia-southeast1-b
52,instance-41,asia-east1-a
51,instance-42,asia-northeast1-c
58,instance-43,us-west4-a
53,instance-44,us-east1-d
43,instance-45,us-west1-a
54,instance-46,us-east1-c
45,instance-47,us-east4-b
42,instance-48,us-east1-d
48,instance-49,us-west1-b
41,instance-50,us-east4-b
